AB NOVESTRA (PUBL)
AB SAGAX (PUBL)
AB TRACTION (PUBL)
ABB LTD
ACANDO AB (PUBL)
ACAP INVEST AB (PUBL)
ACTIVE BIOTECH AB (PUBL)
ADDNODE GROUP AB (PUBL)
ADDTECH AB (PUBL)
AEROCRINE AB (PUBL)
Africa Oil Corp.
AIK FOTBOLL AB
AKTIEBOLAG FAGERHULT (PUBL)
AKTIEBOLAGET GEVEKO (PUBL)
AKTIEBOLAGET INDUSTRIVÄRDEN (PUBL)
AKTIEBOLAGET SKF (PUBL)
AKTIEBOLAGET VOLVO (PUBL)
ALFA LAVAL AB (PUBL)
ALLENEX AB (PUBL)
ALLTELE ALLMÄNNA SVENSKA TELEFONAB
ANOTO GROUP AB (PUBL)
ARCAM AKTIEBOLAG (PUBL)
ARISE WINDPOWER AB (PUBL)
ASPIRO AB (PUBL)
ASSA ABLOY AB (PUBL)
ATLAS COPCO AKTIEBOLAG (PUBL)
ATRIUM LJUNGBERG AB (PUBL)
AUTOLIV INC
AVAILO AB (PUBL)
AVANZA BANK HOLDING AB (PUBL)
AVEGA GROUP AB (PUBL)
AXFOOD AKTIEBOLAG (PUBL)
AXIS AKTIEBOLAG (PUBL)
B&B TOOLS AB (PUBL)
Bactiguard Holding AB (publ)
BE GROUP AB (PUBL)
BEIJER ALMA AB (PUBL)
BEIJER ELECTRONICS AKTIEBOLAG (PUBL)
BEIJER REF AB (PUBL)
BERGS TIMBER AB (PUBL)
BESQAB AB
BETSSON AB (PUBL)
BILIA AB (PUBL)
BILLERUDKORSNÄS AKTIEBOLAG (PUBL)
BIOGAIA AB (PUBL)
BIOINVENT INTERNATIONAL AB
BIOTAGE AB (PUBL)
BJÖRN BORG AB (PUBL)
BLACK EARTH FARMING LTD
BLACKPEARL RESOURCES INC.
BOLIDEN AB (PUBL)
BONG AKTIEBOLAG (PUBL)
BOULE DIAGNOSTICS AB (PUBL)
BTS GROUP AB (PUBL)
BUFAB HOLDING AB (PUBL)
BULTEN AB (PUBL)
BURE EQUITY AB (PUBL)
BYGGMAX GROUP AB (PUBL)
CASTELLUM AB (PUBL)
CATENA AB (PUBL)
CAVOTEC SA
CDON GROUP AB (PUBL)
CELLAVISION AB (PUBL)
CLAS OHLSON AKTIEBOLAG (PUBL)
CLOETTA AB (PUBL)
COELI PRIVATE EQUITY 2014 AB
Com Hem Holding AB
CONCENTRIC AB (PUBL)
CONCORDIA MARITIME AKTIEBOLAG (PUBL)
CONNECTA AB (PUBL)
CONSILIUM AKTIEBOLAG (PUBL)
CONTEXTVISION
COREM PROPERTY GROUP AB (PUBL)
CREADES AB
CROWN ENERGY AB
CTT SYSTEMS AB (PUBL)
CYBERCOM GROUP AB (PUBL)
DEDICARE AB
DGC ONE AB (PUBL)
DIÖS FASTIGHETER AB (PUBL)
DORO AB (PUBL)
DUNI AB (PUBL)
DUROC AKTIEBOLAG (PUBL)
EAST CAPITAL EXPLORER AB (PUBL)
ELANDERS AB (PUBL)
ELECTRA GRUPPEN AB (PUBL)
ELEKTA AB (PUBL)
ELOS AB (PUBL)
ENDOMINES AB (publ)
ENEA AKTIEBOLAG (PUBL)
ENIRO AB (PUBL)
EPISURF MEDICAL AB
ETRION CORPORATION
EWORK SCANDINAVIA AB (PUBL)
FABEGE AB (PUBL)
FAST PARTNER AB (PUBL)
FASTIGHETS AB BALDER (PUBL)
FEELGOOD SVENSKA AB (PUBL)
FENIX OUTDOOR AB (PUBL)
Fenix Outdoor International AG
FINGERPRINT CARDS AB (PUBL)
FORMPIPE SOFTWARE AB (PUBL)
G5 ENTERTAINMENT AB
GETINGE AB (PUBL)
GLOBAL HEALTH PARTNER AB (PUBL)
GLYCOREX TRANSPLANTATION AB (PUBL)
GRÄNGES AB (PUBL)
GUIDELINE GEO AB (PUBL)
GUNNEBO AKTIEBOLAG (PUBL)
H & M HENNES & MAURITZ AB (PUBL)
HALDEX AKTIEBOLAG (PUBL)
HAVSFRUN INVESTMENT AB (PUBL)
HEBA FASTIGHETS AKTIEBOLAG (PUBL)
HEMFOSA FASTIGHETER AB
HEMTEX AB (PUBL)
HEXAGON AKTIEBOLAG (PUBL)
HEXPOL AB (PUBL)
